time,city,T,P,W_speed,W_chill,Humidity,Visibility,Ppt
2009-01-01T00:00:00,San Francisco,47,1022,4,46,90,10,0.0
2009-01-01T03:00:00,San Francisco,45,1022,5,43,89,10,0.0
2009-01-01T06:00:00,San Francisco,44,1022,6,41,86,10,0.0
2009-01-01T09:00:00,San Francisco,43,1022,5,39,85,10,0.0
2009-01-01T12:00:00,San Francisco,56,1022,4,56,62,10,0.0
2009-01-01T15:00:00,San Francisco,57,1021,4,57,51,10,0.0
2009-01-01T18:00:00,San Francisco,58,1019,4,59,55,10,0.0
2009-01-01T21:00:00,San Francisco,46,1018,2,47,75,10,0.0
2009-01-02T00:00:00,San Francisco,46,1018,4,43,83,10,0.0
2009-01-02T03:00:00,San Francisco,44,1018,2,43,88,10,0.0
2009-01-02T06:00:00,San Francisco,46,1017,7,42,89,10,0.0
2009-01-02T09:00:00,San Francisco,52,1015,10,48,95,2,0.6
2009-01-02T12:00:00,San Francisco,56,1014,8,54,97,7,2.6
2009-01-02T15:00:00,San Francisco,57,1014,12,55,91,2,0.7
2009-01-02T18:00:00,San Francisco,56,1014,15,52,74,9,0.7
2009-01-02T21:00:00,San Francisco,46,1016,13,40,75,10,0.0
2009-01-03T00:00:00,San Francisco,47,1017,12,41,75,10,0.0
2009-01-03T03:00:00,San Francisco,44,1017,10,39,76,10,0.0
2009-01-03T06:00:00,San Francisco,44,1018,7,39,75,10,0.0
2009-01-03T09:00:00,San Francisco,41,1017,8,35,75,10,0.0
2009-01-03T12:00:00,San Francisco,46,1018,8,42,61,10,0.0
2009-01-03T15:00:00,San Francisco,51,1018,10,47,45,10,0.0
2009-01-03T18:00:00,San Francisco,51,1017,9,47,46,10,0.0
2009-01-03T21:00:00,San Francisco,45,1018,8,40,58,10,0.0
2009-01-04T00:00:00,San Francisco,46,1019,6,43,63,10,0.0
2009-01-04T03:00:00,San Francisco,43,1020,6,40,70,10,0.0
2009-01-04T06:00:00,San Francisco,41,1020,6,37,72,10,0.0
2009-01-04T09:00:00,San Francisco,39,1020,5,36,77,10,0.0
2009-01-04T12:00:00,San Francisco,44,1022,5,41,58,10,0.0
2009-01-04T15:00:00,San Francisco,51,1023,3,50,44,10,0.0
2009-01-04T18:00:00,San Francisco,49,1022,3,48,48,10,0.0
2009-01-04T21:00:00,San Francisco,42,1024,3,41,65,10,0.0
2009-01-05T00:00:00,San Francisco,44,1025,2,44,73,10,0.0
2009-01-05T03:00:00,San Francisco,42,1024,3,40,66,10,0.0
2009-01-05T06:00:00,San Francisco,40,1023,6,36,60,10,0.0
2009-01-05T09:00:00,San Francisco,43,1022,7,39,67,10,0.1
2009-01-05T12:00:00,San Francisco,46,1023,8,42,79,9,0.9
2009-01-05T15:00:00,San Francisco,48,1023,7,45,85,9,0.9
2009-01-05T18:00:00,San Francisco,46,1023,8,43,83,9,1.1
2009-01-05T21:00:00,San Francisco,44,1024,6,41,83,10,0.0
2009-01-06T00:00:00,San Francisco,45,1024,4,43,82,10,0.0
2009-01-06T03:00:00,San Francisco,43,1025,6,39,87,10,0.0
2009-01-06T06:00:00,San Francisco,44,1025,5,41,89,10,0.0
2009-01-06T09:00:00,San Francisco,44,1025,5,41,91,10,0.0
2009-01-06T12:00:00,San Francisco,53,1026,2,54,77,10,0.0
2009-01-06T15:00:00,San Francisco,58,1025,3,59,69,10,0.0
2009-01-06T18:00:00,San Francisco,57,1024,5,56,76,10,0.0
2009-01-06T21:00:00,San Francisco,50,1026,4,49,94,2,0.0
2009-01-07T00:00:00,San Francisco,49,1025,4,47,96,2,0.0
2009-01-07T03:00:00,San Francisco,47,1025,6,44,93,10,0.0
2009-01-07T06:00:00,San Francisco,46,1025,5,43,91,10,0.0
2009-01-07T09:00:00,San Francisco,44,1024,6,40,88,10,0.0
2009-01-07T12:00:00,San Francisco,57,1025,4,57,66,10,0.0
2009-01-07T15:00:00,San Francisco,65,1023,3,65,55,10,0.0
2009-01-07T18:00:00,San Francisco,62,1022,4,62,58,10,0.0
2009-01-07T21:00:00,San Francisco,47,1022,4,46,73,10,0.0
2009-01-08T00:00:00,San Francisco,48,1021,5,46,77,10,0.0
2009-01-08T03:00:00,San Francisco,45,1020,3,44,82,10,0.0
2009-01-08T06:00:00,San Francisco,46,1021,6,43,85,10,0.0
2009-01-08T09:00:00,San Francisco,41,1021,4,39,89,10,0.0
2009-01-08T12:00:00,San Francisco,52,1023,4,51,71,10,0.0
2009-01-08T15:00:00,San Francisco,57,1021,8,56,70,10,0.0
2009-01-08T18:00:00,San Francisco,59,1021,9,59,68,10,0.0
2009-01-08T21:00:00,San Francisco,51,1023,8,48,82,10,0.0
2009-01-09T00:00:00,San Francisco,49,1023,9,45,81,10,0.0
2009-01-09T03:00:00,San Francisco,47,1023,9,43,81,10,0.0
2009-01-09T06:00:00,San Francisco,47,1024,7,44,77,10,0.0
2009-01-09T09:00:00,San Francisco,45,1025,8,41,74,10,0.0
2009-01-09T12:00:00,San Francisco,52,1026,7,50,49,10,0.0
2009-01-09T15:00:00,San Francisco,56,1025,9,54,37,10,0.0
2009-01-09T18:00:00,San Francisco,59,1025,7,59,38,10,0.0
2009-01-09T21:00:00,San Francisco,53,1028,7,51,48,10,0.0
2009-01-10T00:00:00,San Francisco,50,1029,8,47,49,10,0.0
2009-01-10T03:00:00,San Francisco,48,1029,9,44,57,10,0.0
2009-01-10T06:00:00,San Francisco,46,1031,10,41,58,10,0.0
2009-01-10T09:00:00,San Francisco,45,1032,11,40,57,10,0.0
2009-01-10T12:00:00,San Francisco,52,1033,9,49,43,10,0.0
2009-01-10T15:00:00,San Francisco,59,1033,8,59,36,10,0.0
2009-01-10T18:00:00,San Francisco,64,1032,4,64,40,10,0.0
2009-01-10T21:00:00,San Francisco,55,1033,5,54,48,10,0.0
2009-01-11T00:00:00,San Francisco,52,1033,7,50,46,10,0.0
2009-01-11T03:00:00,San Francisco,48,1033,8,44,47,10,0.0
2009-01-11T06:00:00,San Francisco,47,1032,8,44,50,10,0.0
2009-01-11T09:00:00,San Francisco,47,1032,9,43,54,10,0.0
2009-01-11T12:00:00,San Francisco,61,1033,7,61,43,10,0.0
2009-01-11T15:00:00,San Francisco,68,1030,7,68,35,10,0.0
2009-01-11T18:00:00,San Francisco,69,1028,6,69,37,10,0.0
