time,person,T_xacc,T_yacc,T_zacc,RA_xacc,RA_yacc,RA_zacc,LA_xacc,LA_yacc,LA_zacc,RL_xacc,RL_yacc,RL_zacc,LL_xacc,LL_yacc,LL_zacc
1467836364625,p1,8.9004,0.9645,8.3578,1.7809,1.1634,7.6107,1.6617,1.1365,7.3116,-0.59664,10.088,1.3605,-1.8605,-12.396,2.8062
1467836364665,p1,8.8666,0.58517,3.2225,0.71972,1.8595,7.0971,1.1305,1.1148,7.3919,-1.1625,9.9047,1.7245,1.0375,-7.1125,0.35936
1467836364705,p1,8.7281,0.32922,4.5328,1.4089,1.8769,7.4708,2.475,-0.54039,8.5266,1.0256,8.1843,0.91503,1.7383,-9.2232,0.61203
1467836364745,p1,9.0104,-0.27732,3.7402,1.7306,2.2269,9.258,2.8697,-0.10417,10.427,0.64559,9.5988,1.266,1.5125,-9.7367,0.36031
1467836364785,p1,9.3704,0.16464,3.6414,1.2517,2.9423,11.188,2.3653,-0.84266,11.933,0.2426,9.5668,1.348,1.1238,-9.272,0.4297
1467836364825,p1,8.9818,0.033663,3.8315,0.53187,2.4412,12.022,2.581,-0.10292,11.782,-0.29033,8.7685,1.6532,0.53974,-9.1422,0.40524
1467836364865,p1,9.1175,0.049816,3.2209,-0.24105,3.98,10.712,1.0474,-3.0083,10.276,-0.31026,9.5203,1.1868,0.23973,-9.6957,1.0113
1467836364905,p1,8.7289,0.4629,4.4441,1.4655,1.4003,9.7289,2.6954,0.31358,8.3073,-0.69513,8.6803,0.81989,0.075818,-9.3675,1.3679
1467836364945,p1,8.3851,0.66999,5.2187,-1.0964,2.2821,7.9652,-0.46229,-2.2575,7.6856,-0.6981,9.1314,0.54925,-0.23819,-8.9322,1.2144
1467836364985,p1,7.2528,0.50311,4.7615,1.4827,0.98107,8.2108,2.1221,-0.50832,7.9339,-1.5163,8.5425,0.71351,-1.0023,-8.8379,0.91788
1467836365025,p1,7.5731,0.54451,4.8835,-1.5553,1.8988,8.0262,-0.72317,-1.6331,9.4066,-1.5358,9.4422,0.77216,-1.1374,-8.9716,0.86294
1467836365065,p1,7.3234,0.15807,5.6997,0.97676,1.1101,9.0879,1.6799,-0.02676,11.166,-1.7924,9.8917,0.63147,-1.2454,-10.282,-0.1808
1467836365105,p1,7.4408,0.61001,7.3075,-2.2547,1.7054,9.9019,-1.601,-1.0556,11.845,-1.1342,9.6699,0.50238,-0.92847,-9.7891,1.5291
1467836365145,p1,6.2226,0.83938,6.1061,-0.13981,-0.26397,10.484,0.69545,-0.021798,11.17,-2.1883,11.687,1.4469,-1.0675,-11.87,0.78907
1467836365185,p1,5.5078,-0.018958,7.3111,-4.3737,-0.29188,9.8604,-2.9279,-0.49077,9.5293,-1.6452,10.743,1.5938,-0.7793,-10.787,2.6794
1467836365225,p1,3.2568,1.4002,7.0496,-0.80335,0.19443,9.4811,0.96283,0.40493,8.2843,-3.1728,15.288,3.719,-2.7638,-15.127,3.06
1467836365265,p1,4.3068,0.702,9.127,-4.1357,-0.94678,8.9378,-4.192,1.3936,7.8102,-4.0985,13.985,4.2345,-3.8876,-15.948,4.2863
1467836365305,p1,5.2062,1.3796,8.2877,-1.7411,-1.1514,9.0658,-0.96804,0.52257,9.1211,-4.1959,9.8125,1.1535,-3.3118,-10.231,0.81534
1467836365345,p1,5.5865,1.5241,8.4557,-3.4126,-0.31701,9.0351,-4.0095,2.0254,9.5721,-2.6258,6.7355,1.3609,-2.8698,-5.3304,0.088979
1467836365385,p1,4.7248,1.8174,10.943,-3.1891,-1.2911,7.9433,-3.4195,2.4033,8.4987,-3.3329,7.5738,1.0832,-3.4854,-7.0966,1.8742
1467836365425,p1,4.6056,1.5979,10.493,-5.8007,-6.6393,6.0462,-5.394,6.2663,7.3503,-3.8448,8.7528,2.0245,-3.461,-10.301,1.6867
1467836365465,p1,4.9404,0.96928,9.5587,-5.6902,-9.2439,6.2003,-6.2233,6.9974,6.8507,-3.3097,8.8191,1.0223,-2.8367,-8.509,1.1642
1467836365505,p1,4.2436,0.9834,11.143,-5.1835,-7.0331,7.1858,-4.835,7.3372,6.9487,-3.3254,9.296,1.7417,-2.5367,-8.2359,1.5002
1467836365545,p1,3.4504,1.2024,9.8175,-5.1411,-6.897,8.1101,-4.5442,6.3723,7.9063,-3.009,8.8393,1.8686,-2.5398,-10.209,1.7712
