time,city,T,P,W_speed,W_chill,Humidity,Visibility,Ppt
2014-12-01T00:00:00,San Francisco,57,1017,10,54,87,10,1
2014-12-01T03:00:00,San Francisco,58,1017,11,56,89,10,0.4
2014-12-01T06:00:00,San Francisco,59,1018,9,57,87,10,0.4
2014-12-01T09:00:00,San Francisco,62,1018,9,62,83,10,0.3
2014-12-01T12:00:00,San Francisco,65,1019,8,65,75,10,0
2014-12-01T15:00:00,San Francisco,67,1017,8,67,71,10,0
2014-12-01T18:00:00,San Francisco,65,1016,8,65,75,10,0
2014-12-01T21:00:00,San Francisco,62,1016,8,62,81,10,0
2014-12-02T00:00:00,San Francisco,59,1015,7,59,78,10,0
2014-12-02T03:00:00,San Francisco,56,1013,9,54,74,10,0.4
2014-12-02T06:00:00,San Francisco,56,1011,11,53,78,9,1.4
2014-12-02T09:00:00,San Francisco,60,1010,15,57,80,9,1.4
2014-12-02T12:00:00,San Francisco,61,1008,13,64,76,10,0.5
2014-12-02T15:00:00,San Francisco,61,1007,11,66,77,9,2.5
2014-12-02T18:00:00,San Francisco,64,1007,9,64,85,8,3.5
2014-12-02T21:00:00,San Francisco,60,1008,11,59,88,10,1.6
2014-12-03T00:00:00,San Francisco,59,1009,15,56,89,9,3.2
2014-12-03T03:00:00,San Francisco,59,1008,19,55,89,6,6.4
2014-12-03T06:00:00,San Francisco,59,1007,21,56,90,4,6.8
2014-12-03T09:00:00,San Francisco,62,1008,24,62,87,7,4.8
2014-12-03T12:00:00,San Francisco,64,1009,28,64,79,7,5.4
2014-12-03T15:00:00,San Francisco,66,1009,24,66,81,7,5.9
2014-12-03T18:00:00,San Francisco,64,1010,18,64,89,7,4.5
2014-12-03T21:00:00,San Francisco,61,1011,14,61,93,8,2.1
2014-12-04T00:00:00,San Francisco,60,1012,13,59,93,10,0.8
2014-12-04T03:00:00,San Francisco,58,1012,10,56,93,9,0.3
2014-12-04T06:00:00,San Francisco,58,1013,10,57,93,9,0.3
2014-12-04T09:00:00,San Francisco,61,1014,9,61,91,10,0.4
2014-12-04T12:00:00,San Francisco,64,1015,9,64,85,10,0.7
2014-12-04T15:00:00,San Francisco,65,1014,7,65,82,10,0.8
2014-12-04T18:00:00,San Francisco,64,1014,5,64,85,9,0.5
2014-12-04T21:00:00,San Francisco,60,1015,6,60,88,10,0.1
2014-12-05T00:00:00,San Francisco,59,1016,8,59,89,10,0
2014-12-05T03:00:00,San Francisco,59,1016,8,58,91,10,0
2014-12-05T06:00:00,San Francisco,59,1016,9,58,90,10,0
2014-12-05T09:00:00,San Francisco,62,1016,10,62,88,10,0.5
2014-12-05T12:00:00,San Francisco,64,1016,13,64,82,10,1.5
2014-12-05T15:00:00,San Francisco,65,1014,17,65,82,9,3
2014-12-05T18:00:00,San Francisco,64,1015,19,64,88,7,5
2014-12-05T21:00:00,San Francisco,61,1016,20,61,90,5,3
2014-12-06T00:00:00,San Francisco,60,1018,18,60,91,5,0.7
2014-12-06T03:00:00,San Francisco,60,1020,13,60,91,10,1.1
2014-12-06T06:00:00,San Francisco,60,1021,10,60,91,7,0.7
2014-12-06T09:00:00,San Francisco,62,1022,8,62,89,5,0.2
2014-12-06T12:00:00,San Francisco,64,1023,6,64,85,10,0.2
2014-12-06T15:00:00,San Francisco,64,1022,4,64,82,10,0.2
2014-12-06T18:00:00,San Francisco,64,1022,3,64,85,10,0.1
2014-12-06T21:00:00,San Francisco,62,1022,3,62,88,10,0
2014-12-07T00:00:00,San Francisco,61,1022,6,61,87,10,0
2014-12-07T03:00:00,San Francisco,59,1022,6,59,88,10,0
2014-12-07T06:00:00,San Francisco,60,1021,6,59,86,10,0
2014-12-07T09:00:00,San Francisco,64,1021,6,64,83,10,0
2014-12-07T12:00:00,San Francisco,66,1022,8,66,77,10,0
2014-12-07T15:00:00,San Francisco,67,1020,12,67,76,10,0
2014-12-07T18:00:00,San Francisco,65,1019,13,65,82,10,0
2014-12-07T21:00:00,San Francisco,62,1020,13,62,90,7,0.1
2014-12-08T00:00:00,San Francisco,60,1021,11,60,91,5,0.2
