time,entity,current1,current2,current3,pressure1,pressure2,pressure3,rate1,rate2,rate3,temperature1,temperature2,temperature3,torque1,torque2,torque3
1487241000000,machine1,8.8438,-0.075119,4.9842,0.12891,5.181,7.8066,low,low,9.5838,-7.3653,8.332,0.86964,-7.5481,-9.8092,-0.58611
1487241069120,machine1,7.8949,-1.1746,,-0.55574,6.67,7.7558,low,low,9.3057,-4.9635,5.7572,0.11039,-8.6214,-10.676,-1.3238
1487241138240,machine1,,,3.6103,-0.83383,5.6292,7.8902,low,low,8.8757,-2.531,3.4191,0.18432,-9.868,-11.777,-2.8568
1487241207360,machine1,8.2424,,4.5977,-0.47219,5.8063,7.8641,low,low,8.9183,-1.2774,2.1647,0.053307,-9.103,-10.725,-3.7375
1487241276480,machine1,,,5.7181,-0.11921,6.1082,7.5906,low,low,9.1064,-0.39342,1.7326,0.19158,-8.3533,-10.197,-3.9998
1487241345600,machine1,,-1.4781,4.4729,-0.007744,6.1628,7.3437,low,low,9.3498,0.46728,1.406,0.19423,-8.0822,-9.4744,-3.7393
1487241414720,machine1,,,3.3392,-0.46115,5.8392,7.5824,low,low,8.9443,0.11953,2.0808,-0.083597,-8.4557,-9.3265,-2.8264
1487241483840,machine1,,-1.3853,3.5408,-0.7758,5.8065,7.8331,low,low,8.9236,-1.9396,4.4281,-0.21756,-9.4589,-9.8575,-1.3058
1487241552960,machine1,,,4.8816,-0.62129,5.9076,7.9852,low,low,8.7779,-3.0485,4.9499,-0.4955,-9.4654,-9.2447,-1.379
1487241622080,machine1,8.7626,-1.7618,4.5846,0.063915,5.5645,7.7253,low,low,8.9635,-4.9356,5.5604,-1.2093,-9.6071,-9.2016,-0.67903
1487241691200,machine1,,-1.5977,,-0.18785,5.5786,7.8162,low,low,9.153,-7.8582,7.4829,-1.0075,-8.0782,-9.0088,-0.17456
1487241760320,machine1,,-0.95301,4.648,-0.51337,5.7188,7.9121,low,low,9.2173,-10.536,8.7428,0.070204,-7.9141,-9.4654,-0.14314
1487241829440,machine1,,-0.48711,,-0.51448,5.8386,7.7133,low,low,9.1433,-10.227,9.7175,0.42049,-6.7744,-8.8962,0.056942
1487241898560,machine1,,-0.1853,,-0.7929,5.8041,7.8378,low,low,9.2184,-9.9929,10.797,0.67161,-5.153,-7.0453,0.50768
1487241967680,machine1,,0.33986,,-1.0039,5.9811,7.8228,low,low,8.8512,-10.458,11.246,0.63926,-3.1107,-4.0832,0.73098
1487242036800,machine1,8.8176,0.72511,,-1.0773,5.9932,7.8321,low,low,9.155,-10.565,11.383,-0.023282,-0.94944,-1.6578,0.6545
1487242105920,machine1,,,4.5728,-0.62018,5.9123,7.0229,low,low,9.1605,-10.145,10.668,-0.73433,0.52078,-0.54496,0.87658
1487242175040,machine1,,,3.8873,-1.9594,5.3367,7.7508,low,low,8.7734,-9.6338,9.4974,-1.9833,0.90941,-0.76891,0.31478
1487242244160,machine1,,0.62081,,-2.3545,7.1115,8.7212,low,low,8.7165,-9.6861,8.2431,-1.5928,-0.20137,-2.3868,0.91917
1487242313280,machine1,9.0059,,3.4362,-1.023,6.5586,7.7329,low,low,8.64,-9.701,8.4361,-1.1431,-2.1828,-4.4753,0.52148
1487242382400,machine1,,0.61209,4.247,-0.88406,5.3451,7.9907,low,low,8.7725,-10.64,8.3102,-0.62167,-3.6543,-6.1695,-0.068235
1487242451520,machine1,,,5.1457,-1.06,5.4463,8.1286,low,low,8.7474,-10.839,8.1253,0.36491,-6.5335,-8.1975,0.55
1487242520640,machine1,9.4218,0.74316,4.7854,-1.2162,6.2799,8.2019,low,low,8.6579,-9.9728,8.7093,1.4471,-7.7771,-8.4392,0.83463
1487242589760,machine1,8.9657,0.29586,,-0.44354,5.9667,7.7921,low,veryLow,8.6671,-9.3013,7.5556,1.7619,-8.274,-9.9461,0.89687
1487242658880,machine1,8.3657,-0.17624,5.2638,-0.4442,5.2154,7.7255,low,veryLow,9.4396,-7.5228,7.1822,1.2729,-8.3968,-10.566,-1.2285
1487242728000,machine1,7.5885,-0.55585,,-1.136,4.9022,8.3322,low,low,8.8424,-4.6924,5.2247,0.23676,-9.2595,-10.94,-1.9762
1487242797120,machine1,7.8595,-1.6982,5.265,-1.0973,4.9462,8.2549,low,veryLow,8.7571,-2.4746,3.3191,-1.1121,-8.5336,-10.805,-2.9945
1487242866240,machine1,,,,0.001546,5.0524,8.3156,low,veryLow,8.1881,-0.49524,1.4339,-2.1657,-9.7773,-10.731,-3.3888
1487242935360,machine1,,,4.7748,0.19434,5.2923,8.3422,low,veryLow,8.6167,1.3295,1.088,-2.0086,-9.5298,-10.733,-3.1157
1487243004480,machine1,,,3.6875,0.26583,5.6717,8.111,low,veryLow,8.3902,2.1518,1.7141,-0.29716,-8.6135,-9.3332,-3.0292
1487243073600,machine1,,-2.226,3.5766,0.81338,5.0322,7.4942,low,low,7.9512,0.27558,3.4166,-0.29169,-9.2921,-8.3044,-1.5214
1487243142720,machine1,8.7905,-3.1992,2.7034,1.2293,6.1855,7.6308,low,low,7.981,-2.3662,5.3457,-1.3898,-9.2762,-8.5037,-0.10228
1487243211840,machine1,,-2.2519,4.0774,-0.5337,5.1531,8.5752,low,low,8.3913,-3.9741,5.7738,-1.265,-9.3669,-8.733,-0.61242
1487243280960,machine1,,-1.255,5.1275,-0.35264,3.6006,8.7296,low,low,8.6376,-5.9541,5.9676,-1.0649,-9.2645,-10.175,-0.65193
