time,person,T_xacc,T_yacc,T_zacc,RA_xacc,RA_yacc,RA_zacc,LA_xacc,LA_yacc,LA_zacc,RL_xacc,RL_yacc,RL_zacc,LL_xacc,LL_yacc,LL_zacc
1491980448469,p1,9.3545,1.3157,5.4637,-2.6817,6.4624,7.0821,0.12413,-3.8967,9.3141,-11.011,8.0965,0.74234,-9.0006,-8.99,-0.03717
1491980448509,p1,9.1433,0.3277,4.7021,-2.0546,6.5922,7.3101,0.20237,-3.916,9.0467,-9.0573,8.6154,0.4809100000000001,-8.216000000000001,-9.5801,-1.1013
1491980448549,p1,8.6976,0.32637,4.072,-1.6749,5.5818,6.6808,0.9197,-4.1857,8.5122,-7.3451,8.099,0.05069,-7.072,-10.45,-1.7716
1491980448589,p1,8.3255,-0.05959800000000001,3.1491,-1.7389,4.9751,6.7992,0.73418,-3.9905,8.4986,-5.4056,5.7515,0.077205,-8.8167,-10.143,-1.621
1491980448629,p1,8.0732,-1.1857,3.6695,-1.0738,6.0920000000000005,7.4184,0.81724,-4.0928,8.4625,-3.491,3.6313,-0.45225,-9.7557,-11.647,-1.7754
1491980448669,p1,8.376,-1.4058,4.3866,0.18263,5.6287,7.9294,0.16384,-3.8295,8.3503,-1.4806,1.8854,-0.72509,-9.1124,-12.015,-2.0046
1491980448709,p1,8.5216,-2.2362,4.2853,0.57881,5.3868,8.3026,-0.68398,-4.5293,9.5696,1.0152,0.34949,-0.53822,-9.9186,-11.128,-0.59634
1491980448749,p1,8.5665,-1.7289,5.1469,-0.3317,6.0641,8.1446,-0.40127,-4.4088,9.2711,1.2269,1.4738,-0.16003,-8.8785,-10.745,-2.5948
1491980448789,p1,8.7622,-1.7787,4.2379,-0.43166,6.6224,8.008,0.066978,-4.2639999999999985,8.5226,0.6684100000000001,2.7597,0.27753,-8.7937,-9.4913,-2.2016
1491980448829,p1,8.7942,-1.8564,3.2230000000000003,-0.38095,6.256,7.5765,-0.47866,-4.6508,9.0883,-1.1927,4.2242,-0.15162,-9.1378,-9.3638,-1.9082
1491980448869,p1,9.252,-2.6538,3.4824,-0.32523,5.681,7.6544,-0.35629,-4.8209,8.8144,-2.6944,5.3319,-1.0383,-9.7217,-9.0466,-2.1114
1491980448909,p1,9.2215,-2.5958,3.878,-0.81904,5.6224,7.7653,-0.52318,-4.0622,8.6617,-5.4055,6.5374,-1.3342,-9.1658,-8.7396,-0.9059
1491980448949,p1,8.5248,-1.4075,4.5146,-1.0584,5.9655,7.5126,-0.13017,-4.5355,8.8031,-7.7755,7.0521,-1.1123,-8.2678,-9.3868,-0.758
1491980448989,p1,8.3484,-1.0712,4.1349,-0.8515,5.7851,7.7172,-0.37941,-4.2238,8.9797,-9.756,8.7238,-1.0038,-7.1154,-10.057,-0.7702100000000001
1491980449029,p1,8.3468,-0.42924,2.9155,-0.44005,5.8064,7.7976,0.13462000000000002,-4.0657,8.794,-10.231,9.9485,-0.18938,-5.899,-8.2845,-0.8345299999999999
1491980449069,p1,8.7851,0.19019,4.609,-0.66009,6.0067,7.9965,0.27668000000000004,-4.5036,8.8282,-10.244000000000002,9.6321,0.15585,-4.457,-6.4188,-0.087943
1491980449109,p1,8.8439,0.30593000000000004,5.1921,-1.2588,6.5983,8.0149,0.11771,-4.197,8.8938,-10.515999999999998,10.574000000000002,0.73459,-3.3606,-4.9308,0.16619
1491980449149,p1,9.0423,0.8560200000000001,4.3168,-1.9705,6.6346,7.5587,0.43951,-4.1641,8.6439,-10.623,11.008,0.8370200000000001,-1.8132,-2.594,0.617
1491980449189,p1,9.2551,1.4346,3.6955,-1.9417,6.1085,7.051,0.62716,-4.1796,8.647,-10.072,10.65,-0.97477,0.4613,-0.47283,1.9685
1491980449229,p1,8.8699,1.9268,3.6436,-2.8414,6.0494,7.2591,0.85783,-3.6927,8.6102,-10.937,10.175,-1.2692,1.1127,-0.9259,2.4863
1491980449269,p1,8.6259,2.4026,3.7269,-2.9841,5.8305,6.9121,0.6218,-3.9711,8.7875,-9.8234,8.4862,-1.6352,0.32335,-2.024,1.4017
