time,activity,city,end
2012-01-01T00:00:00,Clear,San Francisco,2012-01-01T01:00:00
2012-01-01T03:00:00,Clear,San Francisco,2012-01-01T04:00:00
2012-01-01T06:00:00,Clear,San Francisco,2012-01-01T07:00:00
2012-01-01T09:00:00,Sunny,San Francisco,2012-01-01T10:00:00
2012-01-01T12:00:00,Sunny,San Francisco,2012-01-01T13:00:00
2012-01-01T15:00:00,Sunny,San Francisco,2012-01-01T16:00:00
2012-01-01T18:00:00,Clear,San Francisco,2012-01-01T19:00:00
2012-01-01T21:00:00,Clear,San Francisco,2012-01-01T22:00:00
2012-01-02T00:00:00,Clear,San Francisco,2012-01-02T01:00:00
2012-01-02T03:00:00,Clear,San Francisco,2012-01-02T04:00:00
2012-01-02T06:00:00,Mist,San Francisco,2012-01-02T07:00:00
2012-01-02T09:00:00,Sunny,San Francisco,2012-01-02T10:00:00
2012-01-02T12:00:00,Sunny,San Francisco,2012-01-02T13:00:00
2012-01-02T15:00:00,Sunny,San Francisco,2012-01-02T16:00:00
2012-01-02T18:00:00,Clear,San Francisco,2012-01-02T19:00:00
2012-01-02T21:00:00,Clear,San Francisco,2012-01-02T22:00:00
2012-01-03T00:00:00,Clear,San Francisco,2012-01-03T01:00:00
2012-01-03T03:00:00,Mist,San Francisco,2012-01-03T04:00:00
2012-01-03T06:00:00,Fog,San Francisco,2012-01-03T07:00:00
2012-01-03T09:00:00,Partly cloudy,San Francisco,2012-01-03T10:00:00
2012-01-03T12:00:00,Fog,San Francisco,2012-01-03T13:00:00
2012-01-03T15:00:00,Sunny,San Francisco,2012-01-03T16:00:00
2012-01-03T18:00:00,Clear,San Francisco,2012-01-03T19:00:00
2012-01-03T21:00:00,Clear,San Francisco,2012-01-03T22:00:00
2012-01-04T00:00:00,Clear,San Francisco,2012-01-04T01:00:00
2012-01-04T03:00:00,Clear,San Francisco,2012-01-04T04:00:00
2012-01-04T06:00:00,Clear,San Francisco,2012-01-04T07:00:00
2012-01-04T09:00:00,Sunny,San Francisco,2012-01-04T10:00:00
2012-01-04T12:00:00,Sunny,San Francisco,2012-01-04T13:00:00
2012-01-04T15:00:00,Sunny,San Francisco,2012-01-04T16:00:00
2012-01-04T18:00:00,Clear,San Francisco,2012-01-04T19:00:00
2012-01-04T21:00:00,Clear,San Francisco,2012-01-04T22:00:00
2012-01-05T00:00:00,Clear,San Francisco,2012-01-05T01:00:00
2012-01-05T03:00:00,Clear,San Francisco,2012-01-05T04:00:00
2012-01-05T06:00:00,Clear,San Francisco,2012-01-05T07:00:00
2012-01-05T09:00:00,Sunny,San Francisco,2012-01-05T10:00:00
2012-01-05T12:00:00,Sunny,San Francisco,2012-01-05T13:00:00
2012-01-05T15:00:00,Sunny,San Francisco,2012-01-05T16:00:00
2012-01-05T18:00:00,Clear,San Francisco,2012-01-05T19:00:00
2012-01-05T21:00:00,Clear,San Francisco,2012-01-05T22:00:00
2012-01-06T00:00:00,Clear,San Francisco,2012-01-06T01:00:00
2012-01-06T03:00:00,Clear,San Francisco,2012-01-06T04:00:00
2012-01-06T06:00:00,Clear,San Francisco,2012-01-06T07:00:00
2012-01-06T09:00:00,Sunny,San Francisco,2012-01-06T10:00:00
2012-01-06T12:00:00,Partly cloudy,San Francisco,2012-01-06T13:00:00
2012-01-06T15:00:00,Sunny,San Francisco,2012-01-06T16:00:00
2012-01-06T18:00:00,Clear,San Francisco,2012-01-06T19:00:00
2012-01-06T21:00:00,Clear,San Francisco,2012-01-06T22:00:00
2012-01-07T00:00:00,Clear,San Francisco,2012-01-07T01:00:00
2012-01-07T03:00:00,Clear,San Francisco,2012-01-07T04:00:00
2012-01-07T06:00:00,Clear,San Francisco,2012-01-07T07:00:00
2012-01-07T09:00:00,Sunny,San Francisco,2012-01-07T10:00:00
2012-01-07T12:00:00,Sunny,San Francisco,2012-01-07T13:00:00
2012-01-07T15:00:00,Sunny,San Francisco,2012-01-07T16:00:00
2012-01-07T18:00:00,Clear,San Francisco,2012-01-07T19:00:00
2012-01-07T21:00:00,Clear,San Francisco,2012-01-07T22:00:00
2012-01-08T00:00:00,Clear,San Francisco,2012-01-08T01:00:00
2012-01-08T03:00:00,Clear,San Francisco,2012-01-08T04:00:00
2012-01-08T06:00:00,Clear,San Francisco,2012-01-08T07:00:00
2012-01-08T09:00:00,Sunny,San Francisco,2012-01-08T10:00:00
2012-01-08T12:00:00,Sunny,San Francisco,2012-01-08T13:00:00
2012-01-08T15:00:00,Sunny,San Francisco,2012-01-08T16:00:00
