time,city,Dew_point,Apparent_T,Wind_Chill,Cloudcover,Humidity,P,T,Visibility,Wind_Dir,Wind_Speed
2014-01-01T00:00:00,San Francisco,37,52,52,0,53,1022,54,10,SW,6
2014-01-01T03:00:00,San Francisco,37,52,52,2,56,1022,53,10,NNE,4
2014-01-01T06:00:00,San Francisco,33,50,50,4,50,1021,51,10,NNE,4
2014-01-01T09:00:00,San Francisco,30,54,54,6,39,1022,55,10,NE,5
2014-01-01T12:00:00,San Francisco,34,64,64,5,32,1021,64,10,NE,5
2014-01-01T15:00:00,San Francisco,39,68,68,6,34,1020,68,10,SE,4
2014-01-01T18:00:00,San Francisco,39,63,63,7,42,1020,63,10,NNW,5
2014-01-01T21:00:00,San Francisco,38,55,55,4,50,1020,56,10,N,4
2014-01-02T00:00:00,San Francisco,37,54,54,3,51,1021,55,10,WSW,4
2014-01-02T03:00:00,San Francisco,32,52,52,3,44,1021,53,10,NE,5
2014-01-02T06:00:00,San Francisco,31,51,51,4,42,1020,53,10,NE,6
2014-01-02T09:00:00,San Francisco,33,55,55,5,41,1021,56,10,ENE,7
2014-01-02T12:00:00,San Francisco,38,65,65,6,38,1021,65,10,NE,6
2014-01-02T15:00:00,San Francisco,43,69,69,8,39,1019,69,10,NE,5
2014-01-02T18:00:00,San Francisco,42,64,64,12,44,1018,64,10,NNE,4
2014-01-02T21:00:00,San Francisco,38,55,55,14,51,1018,56,10,NNE,4
2014-01-03T00:00:00,San Francisco,38,54,54,15,54,1018,54,10,NNE,4
2014-01-03T03:00:00,San Francisco,35,51,51,30,52,1018,52,10,NNE,4
2014-01-03T06:00:00,San Francisco,34,51,51,46,50,1017,52,10,NNE,4
2014-01-03T09:00:00,San Francisco,37,56,56,47,48,1018,57,10,NNE,3
2014-01-03T12:00:00,San Francisco,42,66,66,47,43,1017,66,10,SE,3
2014-01-03T15:00:00,San Francisco,44,68,68,37,43,1015,68,10,NNW,4
2014-01-03T18:00:00,San Francisco,45,63,63,12,53,1015,63,10,NW,4
2014-01-03T21:00:00,San Francisco,44,56,56,3,63,1015,56,10,NW,4
2014-01-04T00:00:00,San Francisco,45,55,55,2,70,1016,55,10,NW,4
2014-01-04T03:00:00,San Francisco,45,54,54,3,72,1016,54,10,NW,3
2014-01-04T06:00:00,San Francisco,45,53,53,3,75,1015,53,10,SW,2
2014-01-04T09:00:00,San Francisco,46,57,57,3,68,1016,57,10,NNE,2
2014-01-04T12:00:00,San Francisco,47,66,66,1,50,1016,66,10,NNE,3
2014-01-04T15:00:00,San Francisco,49,70,70,0,47,1016,70,10,SE,3
2014-01-04T18:00:00,San Francisco,50,67,67,0,55,1015,67,10,SW,3
2014-01-04T21:00:00,San Francisco,45,59,59,0,60,1017,59,10,N,4
2014-01-05T00:00:00,San Francisco,35,54,54,0,47,1018,55,10,NE,6
2014-01-05T03:00:00,San Francisco,23,46,46,0,35,1018,50,10,NE,10
2014-01-05T06:00:00,San Francisco,23,44,44,0,37,1019,48,10,ENE,11
2014-01-05T09:00:00,San Francisco,26,47,47,0,37,1021,51,10,ENE,11
2014-01-05T12:00:00,San Francisco,29,56,56,0,34,1021,58,10,ENE,10
2014-01-05T15:00:00,San Francisco,34,64,64,0,32,1020,64,10,ENE,7
2014-01-05T18:00:00,San Francisco,35,63,63,0,35,1020,63,10,ENE,6
2014-01-05T21:00:00,San Francisco,30,55,55,6,37,1021,56,10,ENE,7
2014-01-06T00:00:00,San Francisco,29,51,51,14,38,1022,53,10,ENE,6
2014-01-06T03:00:00,San Francisco,29,50,50,13,40,1022,52,10,ENE,6
2014-01-06T06:00:00,San Francisco,29,49,49,42,41,1023,51,10,ENE,7
2014-01-06T09:00:00,San Francisco,31,53,53,41,40,1024,55,10,ENE,7
2014-01-06T12:00:00,San Francisco,35,61,61,13,37,1024,61,10,ENE,6
2014-01-06T15:00:00,San Francisco,37,63,63,47,38,1023,63,10,NE,4
2014-01-06T18:00:00,San Francisco,36,60,60,54,40,1022,60,10,ENE,4
2014-01-06T21:00:00,San Francisco,34,56,56,9,44,1022,56,10,NE,3
2014-01-07T00:00:00,San Francisco,37,55,55,5,52,1022,54,10,ENE,2
2014-01-07T03:00:00,San Francisco,40,52,52,7,64,1022,52,10,SSW,2
2014-01-07T06:00:00,San Francisco,42,52,52,5,68,1021,52,10,SSW,1
2014-01-07T09:00:00,San Francisco,43,56,56,14,63,1021,56,10,S,1
2014-01-07T12:00:00,San Francisco,45,63,63,22,52,1022,63,10,W,3
2014-01-07T15:00:00,San Francisco,44,64,64,31,48,1020,64,10,W,5
2014-01-07T18:00:00,San Francisco,45,60,60,39,58,1020,60,10,W,5
2014-01-07T21:00:00,San Francisco,47,53,53,3,75,1021,55,10,WNW,5
2014-01-08T00:00:00,San Francisco,48,50,50,8,86,1022,52,10,NW,6
2014-01-08T03:00:00,San Francisco,48,49,49,12,90,1022,51,10,NW,6
2014-01-08T06:00:00,San Francisco,48,47,47,23,92,1021,50,10,NW,7
2014-01-08T09:00:00,San Francisco,51,51,51,25,90,1022,53,10,NNW,7
2014-01-08T12:00:00,San Francisco,51,55,55,26,81,1022,57,10,NW,9
2014-01-08T15:00:00,San Francisco,51,56,56,32,78,1021,58,10,WNW,11
2014-01-08T18:00:00,San Francisco,52,54,54,27,86,1021,56,10,WNW,10
2014-01-08T21:00:00,San Francisco,52,50,50,46,95,1021,53,7,WNW,10
2014-01-09T00:00:00,San Francisco,50,49,49,37,93,1022,52,5,NW,8
2014-01-09T03:00:00,San Francisco,48,47,47,24,91,1023,51,10,NW,9
2014-01-09T06:00:00,San Francisco,48,47,47,23,90,1023,51,10,NW,10
2014-01-09T09:00:00,San Francisco,51,51,51,24,89,1023,54,10,NW,11
2014-01-09T12:00:00,San Francisco,49,53,53,16,76,1024,57,10,NW,13
2014-01-09T15:00:00,San Francisco,47,55,55,9,66,1022,58,10,NW,15
2014-01-09T18:00:00,San Francisco,47,53,53,9,69,1022,57,10,NW,15
2014-01-09T21:00:00,San Francisco,48,50,50,7,80,1023,54,10,NW,14
2014-01-10T00:00:00,San Francisco,46,47,47,5,83,1024,51,10,NNW,13
2014-01-10T03:00:00,San Francisco,45,45,45,6,86,1024,49,10,NNW,9
2014-01-10T06:00:00,San Francisco,45,45,45,4,87,1024,48,10,NNW,8
2014-01-10T09:00:00,San Francisco,47,49,49,6,85,1025,51,10,NNW,7
2014-01-10T12:00:00,San Francisco,51,58,58,11,75,1025,58,10,NW,6
2014-01-10T15:00:00,San Francisco,52,62,62,5,69,1024,62,10,NW,7
2014-01-10T18:00:00,San Francisco,51,58,58,13,76,1023,59,10,WNW,7
2014-01-10T21:00:00,San Francisco,49,50,50,35,89,1023,52,10,NW,7
2014-01-11T00:00:00,San Francisco,48,50,50,37,88,1023,52,10,NW,6
2014-01-11T03:00:00,San Francisco,46,49,49,43,85,1023,51,10,WNW,5
2014-01-11T06:00:00,San Francisco,48,50,50,47,89,1023,51,10,WNW,4
2014-01-11T09:00:00,San Francisco,52,53,53,42,92,1023,54,10,WSW,5
2014-01-11T12:00:00,San Francisco,55,56,56,72,92,1023,57,10,SW,7
2014-01-11T15:00:00,San Francisco,55,56,56,65,89,1023,58,9,WNW,10
2014-01-11T18:00:00,San Francisco,51,55,55,28,81,1024,57,10,WNW,8
2014-01-11T21:00:00,San Francisco,51,54,54,28,87,1025,55,10,WNW,5
2014-01-12T00:00:00,San Francisco,48,51,51,59,86,1026,52,10,W,5
2014-01-12T03:00:00,San Francisco,47,47,47,38,88,1026,51,10,NW,9
2014-01-12T06:00:00,San Francisco,46,46,46,44,86,1026,50,10,NNW,10
2014-01-12T09:00:00,San Francisco,44,47,47,35,76,1027,51,10,N,10
2014-01-12T12:00:00,San Francisco,43,53,53,0,63,1028,55,10,NNW,9
2014-01-12T15:00:00,San Francisco,43,55,55,0,58,1026,57,10,NNW,10
2014-01-12T18:00:00,San Francisco,42,52,52,0,60,1026,55,10,NNW,12
2014-01-12T21:00:00,San Francisco,42,49,49,0,69,1027,52,10,SW,10
2014-01-13T00:00:00,San Francisco,42,50,50,0,66,1027,53,10,NNE,7
2014-01-13T03:00:00,San Francisco,38,49,49,0,60,1027,51,10,NE,8
2014-01-13T06:00:00,San Francisco,36,46,46,0,59,1028,50,10,NE,10
2014-01-13T09:00:00,San Francisco,37,49,49,0,57,1029,52,10,NE,11
2014-01-13T12:00:00,San Francisco,39,57,57,0,48,1030,59,10,NE,11
2014-01-13T15:00:00,San Francisco,39,63,63,1,41,1029,63,10,NE,8
2014-01-13T18:00:00,San Francisco,40,62,62,3,44,1028,62,10,NE,7
2014-01-13T21:00:00,San Francisco,38,56,56,2,49,1028,57,10,ENE,7
2014-01-14T00:00:00,San Francisco,36,54,54,2,47,1028,56,10,ENE,7
2014-01-14T03:00:00,San Francisco,32,51,51,2,45,1028,53,10,NE,7
2014-01-14T06:00:00,San Francisco,31,49,49,1,45,1029,52,10,NE,8
2014-01-14T09:00:00,San Francisco,31,52,52,1,42,1030,54,10,NE,9
2014-01-14T12:00:00,San Francisco,33,62,62,4,34,1029,62,10,NE,8
2014-01-14T15:00:00,San Francisco,36,69,69,8,30,1028,69,10,NE,7
2014-01-14T18:00:00,San Francisco,36,67,67,0,32,1027,67,10,NE,6
2014-01-14T21:00:00,San Francisco,29,58,58,0,33,1027,59,10,NNE,6
2014-01-15T00:00:00,San Francisco,27,56,56,0,32,1027,57,10,NE,7
2014-01-15T03:00:00,San Francisco,26,51,51,0,34,1026,54,10,NE,9
2014-01-15T06:00:00,San Francisco,28,49,49,0,38,1026,53,10,NE,9
2014-01-15T09:00:00,San Francisco,30,53,53,0,38,1026,55,10,ENE,9
2014-01-15T12:00:00,San Francisco,35,64,64,0,34,1026,64,10,ENE,9
2014-01-15T15:00:00,San Francisco,40,74,72,0,31,1024,72,10,NE,7
2014-01-15T18:00:00,San Francisco,38,69,69,0,33,1023,69,10,NE,6
2014-01-15T21:00:00,San Francisco,32,59,59,0,34,1023,60,10,ENE,7
2014-01-16T00:00:00,San Francisco,29,56,56,0,33,1023,58,10,ENE,7
2014-01-16T03:00:00,San Francisco,28,53,53,0,35,1022,55,10,ENE,9
2014-01-16T06:00:00,San Francisco,27,50,50,0,37,1022,53,10,ENE,10
2014-01-16T09:00:00,San Francisco,29,53,53,0,36,1022,55,10,ENE,9
2014-01-16T12:00:00,San Francisco,33,64,64,0,31,1022,64,10,ENE,8
2014-01-16T15:00:00,San Francisco,40,74,73,0,29,1020,73,10,NE,7
2014-01-16T18:00:00,San Francisco,38,69,69,0,31,1019,70,10,NE,6
2014-01-16T21:00:00,San Francisco,30,57,57,0,34,1020,58,10,ENE,7
2014-01-17T00:00:00,San Francisco,29,55,55,0,34,1020,57,10,ENE,7
