time,person,T_xacc,T_yacc,T_zacc,RA_xacc,RA_yacc,RA_zacc,LA_xacc,LA_yacc,LA_zacc,RL_xacc,RL_yacc,RL_zacc,LL_xacc,LL_yacc,LL_zacc
1467836064625,p1,7.8613,1.2844,5.7756,0.33446,6.1428,7.6273,3.342,-8.6492,3.5333,-3.5524,9.0659,-0.91111,-2.7874,-9.1213,2.6468
1467836064665,p1,7.8616,1.3289,5.746,0.3343,6.1865,7.6178,3.2784,-8.5202,3.5179,-3.5073,9.0211,-0.91766,-2.7724,-9.0915,2.6322
1467836064705,p1,7.8019,1.2777,5.7005,0.34916,6.1162,7.6127,3.2981,-8.5834,3.507,-3.5449,9.066,-0.92596,-2.8023,-9.0764,2.6318
1467836064745,p1,7.8317,1.3216,5.7905,0.36871,6.1283,7.6129,3.2956,-8.5713,3.5264,-3.5374,9.0436,-0.9483,-2.8023,-9.0764,2.6467
1467836064785,p1,7.8092,1.329,5.8351,0.32462,6.1429,7.6151,3.2931,-8.559,3.4919,-3.5524,9.066,-0.92611,-2.8023,-9.0914,2.6467
1467836064825,p1,7.8165,1.2846,5.82,0.35403,6.1428,7.625,3.2809,-8.5493,3.5209,-3.5075,9.0512,-0.9327,-2.8024,-9.1063,2.6391
1467836064865,p1,7.8092,1.2848,5.7603,0.32224,6.1041,7.6052,3.2664,-8.5735,3.5064,-3.5299,9.0511,-0.93315,-2.7724,-9.0914,2.6173
1467836064905,p1,7.8391,1.2995,5.7457,0.34911,6.1622,7.6324,3.2907,-8.5688,3.5214,-3.5075,9.0511,-0.9252,-2.7874,-9.0914,2.632
1467836064945,p1,7.8166,1.2847,5.7752,0.34912,6.1283,7.6128,3.2907,-8.5518,3.5162,-3.5224,9.0511,-0.91799,-2.7874,-9.0914,2.632
1467836064985,p1,7.8316,1.2994,5.7754,0.37103,6.1623,7.6058,3.3005,-8.5737,3.5167,-3.5375,9.066,-0.92581,-2.8173,-9.0764,2.6464
1467836065025,p1,7.8317,1.3143,5.7606,0.38331,6.1574,7.6131,3.2858,-8.559,3.5064,-3.5374,9.051,-0.91829,-2.8323,-9.0763,2.6462
1467836065065,p1,7.8315,1.2772,5.7753,0.39814,6.1283,7.6276,3.3295,-8.4962,3.5451,-3.5449,9.066,-0.91846,-2.7874,-9.0914,2.632
1467836065105,p1,7.8468,1.2998,5.6413,0.35877,6.1623,7.5984,3.2858,-8.5615,3.5309,-3.5076,9.0512,-0.94771,-2.8023,-9.0764,2.6243
1467836065145,p1,7.8166,1.2847,5.7901,0.35158,6.1573,7.6348,3.2688,-8.5541,3.5159,-3.5374,9.066,-0.91831,-2.7724,-9.0915,2.6322
1467836065185,p1,7.8018,1.3439,5.8352,0.36384,6.1331,7.6226,3.2712,-8.5541,3.5184,-3.5524,9.066,-0.93362,-2.7724,-9.0915,2.6472
1467836065225,p1,7.8464,1.3138,5.8503,0.34176,6.1574,7.6274,3.2713,-8.6173,3.5464,-3.5299,9.0436,-0.92564,-2.7948,-9.0764,2.6319
1467836065265,p1,7.8168,1.3144,5.7754,0.33929,6.1526,7.6177,3.2662,-8.5153,3.5396,-3.5299,9.051,-0.90314,-2.7948,-9.0914,2.6318
1467836065305,p1,7.8018,1.3144,5.7902,0.36379,6.1284,7.608,3.3005,-8.5834,3.5193,-3.5449,9.0511,-0.94846,-2.8173,-9.1062,2.6389
1467836065345,p1,7.8017,1.329,5.85,0.36857,6.1575,7.5984,3.2858,-8.5518,3.5161,-3.5448,9.036,-0.92593,-2.8023,-9.0764,2.6467
1467836065385,p1,7.772,1.344,5.8648,0.33439,6.1332,7.603,3.3053,-8.5786,3.512,-3.5524,9.0734,-0.90361,-2.7948,-9.0764,2.6319
1467836065425,p1,7.7867,1.3142,5.8796,0.35891,6.1573,7.6324,3.2565,-8.5444,3.5253,-3.5299,9.0362,-0.94814,-2.7874,-9.1063,2.6319
1467836065465,p1,7.7867,1.2995,5.8497,0.34429,6.1065,7.6126,3.2566,-8.5784,3.5283,-3.5374,9.0659,-0.9033,-2.7724,-9.0765,2.6173
1467836065505,p1,7.7718,1.3217,5.8796,0.33442,6.1694,7.6372,3.2517,-8.5419,3.5105,-3.5076,9.0512,-0.94771,-2.7874,-9.0913,2.617
1467836065545,p1,7.7868,1.329,5.8797,0.34423,6.1356,7.6176,3.2468,-8.5686,3.5207,-3.5076,9.0662,-0.92521,-2.7874,-9.0914,2.6245
1467836065585,p1,7.7793,1.3144,5.8497,0.3442,6.138,7.6128,3.2786,-8.6028,3.5364,-3.5375,9.0586,-0.94832,-2.7948,-9.0765,2.6468
1467836065625,p1,7.772,1.322,5.8199,0.3564,6.1453,7.608,3.2517,-8.5321,3.5055,-3.5523,9.0509,-0.91109,-2.8173,-9.0763,2.6315
1467836065665,p1,7.7867,1.3142,5.8647,0.34915,6.1452,7.6323,3.2785,-8.5712,3.5261,-3.5224,9.0436,-0.93299,-2.7948,-9.0913,2.6244
1467836065705,p1,7.8021,1.3737,5.7906,0.34166,6.1671,7.608,3.2712,-8.576,3.5505,-3.5074,9.0362,-0.93268,-2.8023,-9.0913,2.6317
1467836065745,p1,7.8315,1.2992,5.8202,0.33924,6.1671,7.6153,3.2907,-8.5591,3.531,-3.5525,9.081,-0.92613,-2.7949,-9.1062,2.6019
1467836065785,p1,7.8093,1.3512,5.8353,0.36133,6.126,7.6031,3.3077,-8.5251,3.4671,-3.5372,9.021,-0.91826,-2.8023,-9.0913,2.6242
1467836065825,p1,7.8018,1.3144,5.7902,0.34418,6.155,7.6177,3.2859,-8.6319,3.5175,-3.5525,9.0959,-0.90364,-2.7948,-9.0765,2.6468
1467836065865,p1,7.8689,1.3139,5.7907,0.35903,6.133,7.6444,3.2785,-8.5323,3.5254,-3.5075,9.0362,-0.94769,-2.8023,-9.0988,2.6466
1467836065905,p1,7.8393,1.3144,5.7159,0.37357,6.138,7.613,3.2956,-8.5542,3.4992,-3.5374,9.0511,-0.9333,-2.8173,-9.0912,2.6315
1467836065945,p1,7.8318,1.3292,5.7383,0.38098,6.1186,7.6153,3.3053,-8.5591,3.5067,-3.5525,9.0662,-0.97114,-2.8098,-9.0913,2.6241
1467836065985,p1,7.8615,1.3288,5.7759,0.34899,6.1768,7.613,3.2956,-8.5809,3.4996,-3.5298,9.036,-0.90312,-2.7874,-9.0913,2.617
1467836066025,p1,7.8765,1.2994,5.6862,0.3613,6.1574,7.6178,3.3297,-8.552,3.5217,-3.5374,9.0734,-0.90331,-2.8023,-9.0914,2.6467
1467836066065,p1,7.8766,1.2995,5.6713,0.34913,6.1332,7.6176,3.3078,-8.564,3.4971,-3.5374,9.051,-0.91829,-2.7724,-9.0914,2.6023
1467836066105,p1,7.8616,1.3142,5.7161,0.3588,6.1623,7.6081,3.3053,-8.5251,3.489,-3.5226,9.0811,-0.91803,-2.7873,-9.069,2.6246
1467836066145,p1,7.8691,1.3289,5.7311,0.37109,6.1381,7.6032,3.3102,-8.581,3.5023,-3.5074,9.0362,-0.93268,-2.7948,-9.0914,2.6468
1467836066185,p1,7.8913,1.2844,5.7012,0.38829,6.1283,7.613,3.2956,-8.5591,3.4968,-3.5301,9.0811,-0.93319,-2.8023,-9.0914,2.6467
1467836066225,p1,7.9064,1.2918,5.6715,0.37848,6.1549,7.6276,3.3053,-8.5445,3.482,-3.5449,9.051,-0.92595,-2.8023,-9.0914,2.6616
1467836066265,p1,7.9064,1.314,5.694,0.37355,6.1525,7.6179,3.3248,-8.5446,3.497,-3.5374,9.051,-0.9258,-2.8023,-9.0764,2.6243
1467836066305,p1,7.9065,1.3141,5.6567,0.37356,6.1284,7.6032,3.3249,-8.5738,3.4926,-3.5374,9.066,-0.91831,-2.8023,-9.0764,2.6467
1467836066345,p1,7.9516,1.3217,5.5228,0.37832,6.1817,7.6059,3.3565,-8.5788,3.4859,-3.5374,9.051,-0.91829,-2.8024,-9.0912,2.6018
1467836066385,p1,7.8618,1.2998,5.6264,0.37359,6.1259,7.608,3.3126,-8.5251,3.4818,-3.5373,9.0509,-0.89578,-2.7948,-9.0913,2.6244
1467836066425,p1,7.9215,1.3436,5.657,0.36855,6.1624,7.596,3.3639,-8.5982,3.479,-3.5373,9.0509,-0.90329,-2.7874,-9.0914,2.632
1467836066465,p1,7.9658,1.2691,5.6867,0.36868,6.1622,7.63,3.3444,-8.5884,3.4883,-3.53,9.081,-0.90317,-2.7874,-9.0913,2.617
1467836066505,p1,7.9066,1.3143,5.6194,0.39319,6.1452,7.6277,3.3345,-8.5203,3.4576,-3.5224,9.0361,-0.93298,-2.8023,-9.0764,2.6467
1467836066545,p1,7.8916,1.2922,5.6117,0.42005,6.1284,7.5986,3.3687,-8.5594,3.4588,-3.5674,9.0659,-0.93392,-2.8027,-9.0772,2.6632
1467836066585,p1,7.9512,1.3285,5.6721,0.41509,6.1575,7.6036,3.3785,-8.5788,3.4642,-3.5674,9.0734,-0.93393,-2.8176,-9.0771,2.6704
1467836066625,p1,7.9661,1.2841,5.6197,0.40787,6.1428,7.6229,3.3297,-8.564,3.4681,-3.5374,9.051,-0.91829,-2.7877,-9.0772,2.6485
1467836066665,p1,7.9214,1.2845,5.6193,0.38336,6.1477,7.6179,3.3443,-8.5544,3.473,-3.5374,9.066,-0.91831,-2.7727,-9.0771,2.6188
1467836066705,p1,7.9138,1.2844,5.6566,0.36133,6.1429,7.6153,3.3444,-8.5811,3.4759,-3.5076,9.0587,-0.93271,-2.7952,-9.092,2.6334
1467836066745,p1,7.9214,1.314,5.6643,0.38331,6.1647,7.618,3.337,-8.5592,3.4583,-3.5299,9.0585,-0.90314,-2.7952,-9.0845,2.6184
1467836066785,p1,7.9214,1.2846,5.597,0.4079,6.1234,7.618,3.3541,-8.5447,3.4681,-3.5523,9.0658,-0.8886,-2.7727,-9.0772,2.6338
1467836066825,p1,7.9214,1.2847,5.582,0.4078,6.1453,7.6083,3.3639,-8.5642,3.4539,-3.5223,9.0361,-0.91797,-2.7952,-9.0921,2.6632
1467836066865,p1,7.9214,1.2919,5.6119,0.41274,6.1356,7.6132,3.3785,-8.5594,3.4345,-3.5523,9.0509,-0.91859,-2.8177,-9.0769,2.6181
1467836066905,p1,7.9363,1.2698,5.5671,0.4274,6.1477,7.6133,3.3688,-8.5739,3.4444,-3.5673,9.0658,-0.9039,-2.8177,-9.092,2.6479
1467836066945,p1,7.9816,1.2851,5.3587,0.40034,6.1672,7.5938,3.3687,-8.5593,3.4392,-3.5374,9.051,-0.91829,-2.8102,-9.077,2.6331
1467836066985,p1,7.8912,1.2106,5.6261,0.4031,6.1088,7.6324,3.3395,-8.5446,3.4532,-3.5375,9.0735,-0.92582,-2.7877,-9.0772,2.6485
1467836067025,p1,7.8917,1.3733,5.7092,0.3711,6.1477,7.613,3.3297,-8.5592,3.4802,-3.5374,9.0511,-0.9333,-2.8177,-9.077,2.648
1467836067065,p1,7.9955,1.2539,5.7167,0.36132,6.1574,7.6227,3.3591,-8.6468,3.4748,-3.5449,9.0659,-0.91096,-2.7952,-9.092,2.6334
1467836067105,p1,7.9212,1.2696,5.6416,0.40306,6.1331,7.6374,3.3077,-8.5202,3.467,-3.5076,9.0662,-0.92521,-2.8027,-9.0771,2.6333
1467836067145,p1,7.8915,1.2699,5.6265,0.38074,6.1552,7.579,3.3346,-8.564,3.4388,-3.5522,9.0359,-0.91857,-2.8102,-9.077,2.6257
1467836067185,p1,7.9511,1.2988,5.6868,0.40291,6.1429,7.6059,3.3492,-8.552,3.4877,-3.5598,9.0585,-0.93376,-2.8177,-9.077,2.648
